,index,FTHG,FTAG,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeWinRate,AwayWinRate,isWin
46,46,3.1666666666666665,1.6666666666666667,1.1666666666666667,0.5,18.83333333333333,11.833333333333334,9.0,5.666666666666667,14.666666666666666,14.5,6.333333333333333,4.5,1.1666666666666667,2.1666666666666665,0.0,0.5,1.0,0.3333333333333333,1.0
47,47,1.3333333333333333,1.1666666666666667,0.5,0.5,13.333333333333334,11.333333333333334,4.833333333333333,4.0,16.333333333333332,16.0,7.166666666666667,6.5,1.6666666666666667,1.5,0.1666666666666666,0.0,0.1666666666666666,0.3333333333333333,1.0
48,48,0.3333333333333333,1.3333333333333333,0.1666666666666666,0.8333333333333334,8.0,11.833333333333334,1.5,4.5,20.0,19.83333333333333,2.5,4.833333333333333,2.0,2.1666666666666665,0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0
49,49,1.0,1.0,0.6666666666666666,0.3333333333333333,9.0,8.0,3.0,2.5,16.666666666666668,13.333333333333334,4.5,3.0,1.6666666666666667,1.6666666666666667,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0
50,50,2.0,0.3333333333333333,0.6666666666666666,0.1666666666666666,13.5,10.666666666666666,6.166666666666667,3.1666666666666665,12.333333333333334,21.33333333333333,4.833333333333333,4.833333333333333,1.5,1.3333333333333333,0.0,0.1666666666666666,0.5,0.1666666666666666,1.0
51,51,2.333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,10.666666666666666,17.5,4.166666666666667,7.666666666666667,16.0,13.5,4.666666666666667,8.5,1.8333333333333333,1.1666666666666667,0.1666666666666666,0.0,0.5,0.5,0.0
52,52,1.1666666666666667,2.6666666666666665,0.6666666666666666,0.8333333333333334,9.5,14.666666666666666,3.5,4.833333333333333,12.666666666666666,15.666666666666666,4.5,5.833333333333333,2.1666666666666665,1.5,0.1666666666666666,0.0,0.1666666666666666,0.8333333333333334,1.0
53,53,0.8333333333333334,1.5,0.3333333333333333,1.0,9.5,15.833333333333334,3.6666666666666665,7.333333333333333,17.0,16.666666666666668,5.166666666666667,5.5,1.1666666666666667,1.5,0.3333333333333333,0.0,0.1666666666666666,0.5,0.0
54,54,1.4285714285714286,0.2857142857142857,0.4285714285714285,0.1428571428571428,10.714285714285714,8.571428571428571,5.0,1.5714285714285714,15.285714285714286,20.285714285714285,4.0,3.0,2.2857142857142856,2.2857142857142856,0.4285714285714285,0.0,0.2857142857142857,0.1428571428571428,0.0
55,55,2.4285714285714284,2.142857142857143,1.2857142857142858,0.7142857142857143,16.714285714285715,13.428571428571429,7.0,6.0,14.0,12.571428571428571,7.714285714285714,5.571428571428571,1.0,1.4285714285714286,0.0,0.0,0.4285714285714285,0.5714285714285714,0.0
56,56,2.2857142857142856,2.142857142857143,0.7142857142857143,1.1428571428571428,14.285714285714286,11.142857142857142,4.571428571428571,4.428571428571429,16.142857142857142,16.428571428571427,6.0,5.0,1.2857142857142858,2.142857142857143,0.0,0.1428571428571428,0.7142857142857143,0.4285714285714285,1.0
