,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeWinRate,AwayWinRate,isWin
56,06/10/2018,Dortmund,Augsburg,3.1666666666666665,1.8333333333333333,H,1.0,0.6666666666666666,11.833333333333334,16.5,6.0,6.5,8.666666666666666,12.5,5.166666666666667,5.666666666666667,0.6666666666666666,1.1666666666666667,0.16666666666666666,0.0,0.6666666666666666,0.3333333333333333,1.0
57,06/10/2018,Fortuna Dusseldorf,Schalke 04,0.8333333333333334,0.5,A,0.3333333333333333,0.16666666666666666,13.166666666666666,13.333333333333334,5.333333333333333,3.5,11.666666666666666,14.0,5.0,4.0,2.0,2.6666666666666665,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0
58,06/10/2018,Hannover,Stuttgart,0.8333333333333334,0.8333333333333334,H,0.16666666666666666,0.3333333333333333,11.0,10.666666666666666,4.0,2.5,9.833333333333334,8.5,5.666666666666667,3.5,1.5,2.0,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0
59,06/10/2018,Mainz,Hertha,0.6666666666666666,2.0,D,0.16666666666666666,1.0,12.333333333333334,9.666666666666666,3.8333333333333335,4.0,13.666666666666666,12.166666666666666,4.333333333333333,3.6666666666666665,1.5,2.1666666666666665,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
60,07/10/2018,Freiburg,Leverkusen,1.5,1.1666666666666667,D,0.6666666666666666,0.6666666666666666,13.833333333333334,11.666666666666666,5.5,3.5,11.833333333333334,11.666666666666666,4.666666666666667,4.833333333333333,2.0,1.8333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0
61,07/10/2018,Hoffenheim,Ein Frankfurt,1.6666666666666667,1.6666666666666667,A,0.3333333333333333,0.6666666666666666,15.5,9.166666666666666,6.166666666666667,3.1666666666666665,13.666666666666666,11.666666666666666,5.0,4.333333333333333,2.0,1.0,0.0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0
62,07/10/2018,RB Leipzig,Nurnberg,1.6666666666666667,1.1666666666666667,H,0.6666666666666666,0.16666666666666666,15.5,11.666666666666666,6.166666666666667,3.6666666666666665,11.166666666666666,10.166666666666666,5.0,5.666666666666667,2.1666666666666665,1.5,0.0,0.0,0.5,0.3333333333333333,1.0
63,19/10/2018,Ein Frankfurt,Fortuna Dusseldorf,1.7142857142857142,0.7142857142857143,H,0.7142857142857143,0.2857142857142857,8.714285714285714,12.571428571428571,3.2857142857142856,5.0,12.285714285714286,12.428571428571429,3.7142857142857144,4.857142857142857,1.4285714285714286,2.142857142857143,0.2857142857142857,0.0,0.42857142857142855,0.14285714285714285,1.0
64,20/10/2018,Augsburg,RB Leipzig,2.0,2.2857142857142856,D,0.7142857142857143,1.1428571428571428,15.857142857142858,15.857142857142858,6.428571428571429,6.428571428571429,14.857142857142858,11.142857142857142,5.714285714285714,5.142857142857143,2.0,1.8571428571428572,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0
65,20/10/2018,Leverkusen,Hannover,1.0,1.1428571428571428,D,0.5714285714285714,0.42857142857142855,12.0,11.571428571428571,3.0,4.285714285714286,11.714285714285714,10.714285714285714,4.714285714285714,5.571428571428571,1.7142857142857142,1.4285714285714286,0.14285714285714285,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.0
66,20/10/2018,Nurnberg,Hoffenheim,1.0,1.5714285714285714,A,0.14285714285714285,0.2857142857142857,10.428571428571429,16.142857142857142,3.142857142857143,5.857142857142857,10.428571428571429,13.857142857142858,5.0,5.142857142857143,1.4285714285714286,2.0,0.14285714285714285,0.0,0.2857142857142857,0.2857142857142857,0.0
67,20/10/2018,Schalke 04,Werder Bremen,0.7142857142857143,1.8571428571428572,A,0.14285714285714285,1.0,13.571428571428571,13.571428571428571,3.7142857142857144,4.571428571428571,14.142857142857142,11.857142857142858,4.285714285714286,4.571428571428571,2.4285714285714284,1.7142857142857142,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.0
68,20/10/2018,Stuttgart,Dortmund,0.8571428571428571,3.2857142857142856,A,0.2857142857142857,0.8571428571428571,10.714285714285714,13.0,2.857142857142857,6.285714285714286,8.857142857142858,8.142857142857142,4.0,5.714285714285714,2.0,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.0
69,20/10/2018,Wolfsburg,Bayern Munich,1.4285714285714286,1.7142857142857142,A,0.42857142857142855,0.7142857142857143,12.857142857142858,17.571428571428573,5.428571428571429,5.571428571428571,12.142857142857142,6.428571428571429,6.571428571428571,8.428571428571429,2.142857142857143,1.1428571428571428,0.0,0.0,0.2857142857142857,0.5714285714285714,0.0
70,21/10/2018,Hertha,Freiburg,1.7142857142857142,1.2857142857142858,D,0.8571428571428571,0.5714285714285714,9.857142857142858,12.857142857142858,3.5714285714285716,4.857142857142857,11.714285714285714,11.714285714285714,4.0,4.428571428571429,2.142857142857143,2.142857142857143,0.0,0.14285714285714285,0.5714285714285714,0.2857142857142857,0.0
71,21/10/2018,M'gladbach,Mainz,2.142857142857143,0.5714285714285714,H,0.7142857142857143,0.14285714285714285,13.428571428571429,13.857142857142858,4.571428571428571,3.7142857142857144,9.285714285714286,13.428571428571429,5.857142857142857,4.428571428571429,1.2857142857142858,1.2857142857142858,0.0,0.0,0.5714285714285714,0.2857142857142857,1.0
72,26/10/2018,Freiburg,M'gladbach,1.25,2.375,H,0.625,0.75,12.25,13.75,4.625,5.0,12.0,8.625,4.25,5.625,1.875,1.125,0.125,0.0,0.25,0.625,1.0
73,27/10/2018,Dortmund,Hertha,3.375,1.625,D,1.125,0.875,12.875,10.25,6.0,3.75,7.75,11.75,5.25,4.5,0.625,2.125,0.125,0.0,0.75,0.5,0.0
74,27/10/2018,Fortuna Dusseldorf,Wolfsburg,0.75,1.375,A,0.25,0.375,12.25,12.25,5.0,4.875,12.375,11.75,4.375,6.0,2.125,2.125,0.0,0.0,0.125,0.25,0.0
75,27/10/2018,Hannover,Augsburg,1.25,1.75,A,0.5,0.625,11.25,14.625,4.625,5.625,11.625,15.5,5.5,5.25,1.875,2.0,0.25,0.0,0.125,0.25,0.0
76,27/10/2018,Hoffenheim,Stuttgart,1.75,0.75,H,0.25,0.25,16.625,11.0,6.625,3.125,13.25,8.625,5.375,4.75,2.0,1.75,0.0,0.0,0.375,0.125,1.0
77,27/10/2018,Mainz,Bayern Munich,0.5,1.875,A,0.125,0.75,13.75,17.0,3.75,6.25,13.0,7.125,4.625,8.5,1.375,1.5,0.0,0.125,0.25,0.625,0.0
78,28/10/2018,Nurnberg,Ein Frankfurt,1.0,2.375,D,0.25,1.0,10.0,10.25,3.0,4.5,10.125,12.375,4.5,3.875,1.75,1.25,0.125,0.25,0.25,0.5,0.0
79,28/10/2018,RB Leipzig,Schalke 04,2.0,0.625,D,1.0,0.125,15.75,13.625,6.0,3.75,12.75,14.0,4.75,4.125,2.25,2.25,0.0,0.25,0.5,0.25,0.0
80,28/10/2018,Werder Bremen,Leverkusen,1.875,1.125,A,1.0,0.625,12.875,12.875,4.375,3.5,11.5,12.0,4.125,5.25,2.0,1.625,0.125,0.125,0.625,0.25,0.0
81,02/11/2018,Stuttgart,Ein Frankfurt,0.6666666666666666,2.2222222222222223,A,0.2222222222222222,0.8888888888888888,10.444444444444445,10.222222222222221,2.7777777777777777,4.222222222222222,8.666666666666666,12.444444444444445,4.555555555555555,4.111111111111111,1.6666666666666667,1.4444444444444444,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.4444444444444444,0.0
82,03/11/2018,Augsburg,Nurnberg,1.7777777777777777,1.0,D,0.6666666666666666,0.2222222222222222,14.0,10.0,5.444444444444445,3.0,15.555555555555555,10.222222222222221,5.111111111111111,4.888888888888889,2.111111111111111,1.7777777777777777,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0
83,03/11/2018,Bayern Munich,Freiburg,1.8888888888888888,1.4444444444444444,D,0.7777777777777778,0.6666666666666666,17.444444444444443,12.333333333333334,6.111111111111111,4.888888888888889,7.0,11.666666666666666,8.333333333333334,4.111111111111111,1.4444444444444444,1.7777777777777777,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.3333333333333333,0.0
84,03/11/2018,Hertha,RB Leipzig,1.6666666666666667,1.7777777777777777,A,0.8888888888888888,0.8888888888888888,10.222222222222221,15.666666666666666,3.7777777777777777,5.555555555555555,12.11111111111111,12.555555555555555,4.222222222222222,5.0,2.2222222222222223,2.3333333333333335,0.0,0.0,0.4444444444444444,0.4444444444444444,0.0
85,03/11/2018,Leverkusen,Hoffenheim,1.6666666666666667,2.0,A,0.8888888888888888,0.2222222222222222,13.333333333333334,17.22222222222222,4.222222222222222,7.0,11.555555555555555,13.0,5.333333333333333,5.444444444444445,1.6666666666666667,1.8888888888888888,0.1111111111111111,0.0,0.3333333333333333,0.4444444444444444,0.0
86,03/11/2018,Schalke 04,Hannover,0.5555555555555556,1.2222222222222223,H,0.1111111111111111,0.4444444444444444,12.777777777777779,11.88888888888889,3.3333333333333335,4.555555555555555,13.88888888888889,12.0,4.111111111111111,5.444444444444445,2.2222222222222223,1.8888888888888888,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,1.0
87,03/11/2018,Wolfsburg,Dortmund,1.5555555555555556,3.2222222222222223,A,0.4444444444444444,1.1111111111111112,12.88888888888889,13.555555555555555,5.0,5.888888888888889,11.666666666666666,7.666666666666667,6.333333333333333,5.555555555555555,2.5555555555555554,0.7777777777777778,0.0,0.1111111111111111,0.3333333333333333,0.6666666666666666,0.0
